user_id,financial_archetype,annual_income,annual_expenses,average_monthly_income,average_monthly_expenses,average_monthly_surplus,total_savings_transfers,average_monthly_savings,total_investment_transfers,savings_rate,essential_spending_total,discretionary_spending_total,discretionary_spending_share,rent_to_income_ratio,debt_repayment_total,debt_to_income_ratio,spending_volatility,income_volatility,estimated_emergency_buffer_months,target_property_price_used_for_projection,target_10_percent_deposit,target_20_percent_deposit,estimated_months_to_10_percent_deposit,estimated_months_to_20_percent_deposit,top_spending_categories,financial_strengths,financial_opportunities,financial_alignment_status,home_buying_roadmap,plain_english_financial_summary,full_financial_profile_text
1,Disciplined saver,99471.51,95329.56,8289.29,7944.13,345.16,25083.14,2090.26,6000.31,0.2522,48807.64,14330.45,0.1503,0.2962,1767.43,0.0178,2498.59,2301.48,3.16,1136945,113694.5,227389.0,42.4,96.8,"Rent, Savings Transfer, Groceries, Investment Transfer, Transport",strong savings consistency; rent is reasonably controlled relative to income; low debt repayment pressure; discretionary spending is relatively controlled,reduce month-to-month spending volatility,Emerging Alignment,"Recommended roadmap:
    1. Maintain income stability and preserve positive monthly surplus.
    2. Increase monthly deposit transfers where possible.
    3. Review top spending categories: Rent, Savings Transfer, Groceries, Investment Transfer, Transport.
    4. Reduce avoidable discretionary spending before increasing property budget.
    5. Strengthen deposit position before pursuing higher-priced properties.
    6. Speak with a broker or lender for formal borrowing guidance.","This user is best described as a Disciplined saver. Over the last 12 months, they earned approximately $99,472
    and spent approximately $95,330. Their average monthly surplus is approximately $345.
    Their savings rate is 25.2%, rent-to-income ratio is 29.6%, and debt-to-income ratio is 1.8%.
    Current home buying alignment status: Emerging Alignment.","User 1 financial profile:
    Archetype: Disciplined saver.
    Annual income: $99,472.
    Annual expenses: $95,330.
    Average monthly income: $8,289.
    Average monthly expenses: $7,944.
    Average monthly surplus: $345.
    Average monthly savings: $2,090.
    Total savings transfers: $25,083.
    Total investment transfers: $6,000.
    Savings rate: 25.2%.
    Rent-to-income ratio: 29.6%.
    Debt-to-income ratio: 1.8%.
    Emergency buffer estimate: 3.2 months.
    Spending volatility: $2,499.
    Top spending categories: Rent, Savings Transfer, Groceries, Investment Transfer, Transport.
    Strengths: strong savings consistency, rent is reasonably controlled relative to income, low debt repayment pressure, discretionary spending is relatively controlled.
    Opportunities: reduce month-to-month spending volatility.
    Financial alignment status: Emerging Alignment."
2,High income / high spending,175458.7,170717.77,14621.56,14226.48,395.08,18902.71,1575.23,10846.53,0.1077,84758.84,54487.0,0.3192,0.2904,9586.58,0.0546,3962.58,313.65,1.33,1077949,107794.9,215589.8,56.4,124.9,"Rent, Savings Transfer, Groceries, Dining Out, Investment Transfer",rent is reasonably controlled relative to income; low debt repayment pressure,"increase monthly savings rate; review dining, shopping, entertainment, and lifestyle spending; reduce month-to-month spending volatility",Emerging Alignment,"Recommended roadmap:
    1. Maintain income stability and preserve positive monthly surplus.
    2. Increase monthly deposit transfers where possible.
    3. Review top spending categories: Rent, Savings Transfer, Groceries, Dining Out, Investment Transfer.
    4. Reduce avoidable discretionary spending before increasing property budget.
    5. Strengthen deposit position before pursuing higher-priced properties.
    6. Speak with a broker or lender for formal borrowing guidance.","This user is best described as a High income / high spending. Over the last 12 months, they earned approximately $175,459
    and spent approximately $170,718. Their average monthly surplus is approximately $395.
    Their savings rate is 10.8%, rent-to-income ratio is 29.0%, and debt-to-income ratio is 5.5%.
    Current home buying alignment status: Emerging Alignment.","User 2 financial profile:
    Archetype: High income / high spending.
    Annual income: $175,459.
    Annual expenses: $170,718.
    Average monthly income: $14,622.
    Average monthly expenses: $14,226.
    Average monthly surplus: $395.
    Average monthly savings: $1,575.
    Total savings transfers: $18,903.
    Total investment transfers: $10,847.
    Savings rate: 10.8%.
    Rent-to-income ratio: 29.0%.
    Debt-to-income ratio: 5.5%.
    Emergency buffer estimate: 1.3 months.
    Spending volatility: $3,963.
    Top spending categories: Rent, Savings Transfer, Groceries, Dining Out, Investment Transfer.
    Strengths: rent is reasonably controlled relative to income, low debt repayment pressure.
    Opportunities: increase monthly savings rate, review dining, shopping, entertainment, and lifestyle spending, reduce month-to-month spending volatility.
    Financial alignment status: Emerging Alignment."
3,Young professional building deposit,79417.23,80381.43,6618.1,6698.45,-80.35,14303.49,1191.96,1774.49,0.1801,45803.74,16848.78,0.2096,0.3114,2997.64,0.0377,1895.05,369.71,2.14,764338,76433.8,152867.6,52.1,116.2,"Rent, Savings Transfer, Groceries, Transport, Insurance",strong savings consistency; rent is reasonably controlled relative to income; low debt repayment pressure; discretionary spending is relatively controlled,reduce month-to-month spending volatility,Long-Term Alignment,"Recommended roadmap:
    1. Maintain income stability and preserve positive monthly surplus.
    2. Increase monthly deposit transfers where possible.
    3. Review top spending categories: Rent, Savings Transfer, Groceries, Transport, Insurance.
    4. Reduce avoidable discretionary spending before increasing property budget.
    5. Strengthen deposit position before pursuing higher-priced properties.
    6. Speak with a broker or lender for formal borrowing guidance.","This user is best described as a Young professional building deposit. Over the last 12 months, they earned approximately $79,417
    and spent approximately $80,381. Their average monthly surplus is approximately $-80.
    Their savings rate is 18.0%, rent-to-income ratio is 31.1%, and debt-to-income ratio is 3.8%.
    Current home buying alignment status: Long-Term Alignment.","User 3 financial profile:
    Archetype: Young professional building deposit.
    Annual income: $79,417.
    Annual expenses: $80,381.
    Average monthly income: $6,618.
    Average monthly expenses: $6,698.
    Average monthly surplus: $-80.
    Average monthly savings: $1,192.
    Total savings transfers: $14,303.
    Total investment transfers: $1,774.
    Savings rate: 18.0%.
    Rent-to-income ratio: 31.1%.
    Debt-to-income ratio: 3.8%.
    Emergency buffer estimate: 2.1 months.
    Spending volatility: $1,895.
    Top spending categories: Rent, Savings Transfer, Groceries, Transport, Insurance.
    Strengths: strong savings consistency, rent is reasonably controlled relative to income, low debt repayment pressure, discretionary spending is relatively controlled.
    Opportunities: reduce month-to-month spending volatility.
    Financial alignment status: Long-Term Alignment."
4,Family under financial pressure,113947.69,115622.15,9495.64,9635.18,-139.54,3573.18,297.76,0.0,0.0314,86803.83,22468.36,0.1943,0.3873,15625.0,0.1371,2667.97,293.83,0.37,1281699,128169.9,256339.8,418.4,848.9,"Rent, Groceries, Credit Card Repayment, Personal Loan Repayment, Cafes",discretionary spending is relatively controlled,increase monthly savings rate; rent pressure may be slowing deposit growth; reduce debt repayment pressure before purchase; reduce month-to-month spending volatility,Long-Term Alignment,"Recommended roadmap:
    1. Maintain income stability and preserve positive monthly surplus.
    2. Increase monthly deposit transfers where possible.
    3. Review top spending categories: Rent, Groceries, Credit Card Repayment, Personal Loan Repayment, Cafes.
    4. Reduce avoidable discretionary spending before increasing property budget.
    5. Strengthen deposit position before pursuing higher-priced properties.
    6. Speak with a broker or lender for formal borrowing guidance.","This user is best described as a Family under financial pressure. Over the last 12 months, they earned approximately $113,948
    and spent approximately $115,622. Their average monthly surplus is approximately $-140.
    Their savings rate is 3.1%, rent-to-income ratio is 38.7%, and debt-to-income ratio is 13.7%.
    Current home buying alignment status: Long-Term Alignment.","User 4 financial profile:
    Archetype: Family under financial pressure.
    Annual income: $113,948.
    Annual expenses: $115,622.
    Average monthly income: $9,496.
    Average monthly expenses: $9,635.
    Average monthly surplus: $-140.
    Average monthly savings: $298.
    Total savings transfers: $3,573.
    Total investment transfers: $0.
    Savings rate: 3.1%.
    Rent-to-income ratio: 38.7%.
    Debt-to-income ratio: 13.7%.
    Emergency buffer estimate: 0.4 months.
    Spending volatility: $2,668.
    Top spending categories: Rent, Groceries, Credit Card Repayment, Personal Loan Repayment, Cafes.
    Strengths: discretionary spending is relatively controlled.
    Opportunities: increase monthly savings rate, rent pressure may be slowing deposit growth, reduce debt repayment pressure before purchase, reduce month-to-month spending volatility.
    Financial alignment status: Long-Term Alignment."
5,Investor-oriented buyer,134477.13,127352.72,11206.43,10612.73,593.7,26546.44,2212.2,16723.45,0.1974,61009.34,21279.8,0.1671,0.2489,7116.92,0.0529,2773.21,321.15,2.5,832353,83235.3,166470.6,25.6,63.3,"Rent, Savings Transfer, Investment Transfer, Groceries, Transport",strong savings consistency; rent is reasonably controlled relative to income; low debt repayment pressure; discretionary spending is relatively controlled,reduce month-to-month spending volatility,Emerging Alignment,"Recommended roadmap:
    1. Maintain income stability and preserve positive monthly surplus.
    2. Increase monthly deposit transfers where possible.
    3. Review top spending categories: Rent, Savings Transfer, Investment Transfer, Groceries, Transport.
    4. Reduce avoidable discretionary spending before increasing property budget.
    5. Strengthen deposit position before pursuing higher-priced properties.
    6. Speak with a broker or lender for formal borrowing guidance.","This user is best described as a Investor-oriented buyer. Over the last 12 months, they earned approximately $134,477
    and spent approximately $127,353. Their average monthly surplus is approximately $594.
    Their savings rate is 19.7%, rent-to-income ratio is 24.9%, and debt-to-income ratio is 5.3%.
    Current home buying alignment status: Emerging Alignment.","User 5 financial profile:
    Archetype: Investor-oriented buyer.
    Annual income: $134,477.
    Annual expenses: $127,353.
    Average monthly income: $11,206.
    Average monthly expenses: $10,613.
    Average monthly surplus: $594.
    Average monthly savings: $2,212.
    Total savings transfers: $26,546.
    Total investment transfers: $16,723.
    Savings rate: 19.7%.
    Rent-to-income ratio: 24.9%.
    Debt-to-income ratio: 5.3%.
    Emergency buffer estimate: 2.5 months.
    Spending volatility: $2,773.
    Top spending categories: Rent, Savings Transfer, Investment Transfer, Groceries, Transport.
    Strengths: strong savings consistency, rent is reasonably controlled relative to income, low debt repayment pressure, discretionary spending is relatively controlled.
    Opportunities: reduce month-to-month spending volatility.
    Financial alignment status: Emerging Alignment."
6,Emotionally reactive spender,90953.96,104035.63,7579.5,8669.64,-1090.14,2985.04,248.75,0.0,0.0328,61264.25,37659.24,0.362,0.32,12044.21,0.1324,3319.98,391.47,0.34,1482167,148216.7,296433.4,583.8,1179.7,"Rent, Groceries, Dining Out, Shopping, Entertainment",,"increase monthly savings rate; rent pressure may be slowing deposit growth; reduce debt repayment pressure before purchase; review dining, shopping, entertainment, and lifestyle spending; reduce month-to-month spending volatility",Long-Term Alignment,"Recommended roadmap:
    1. Maintain income stability and preserve positive monthly surplus.
    2. Increase monthly deposit transfers where possible.
    3. Review top spending categories: Rent, Groceries, Dining Out, Shopping, Entertainment.
    4. Reduce avoidable discretionary spending before increasing property budget.
    5. Strengthen deposit position before pursuing higher-priced properties.
    6. Speak with a broker or lender for formal borrowing guidance.","This user is best described as a Emotionally reactive spender. Over the last 12 months, they earned approximately $90,954
    and spent approximately $104,036. Their average monthly surplus is approximately $-1,090.
    Their savings rate is 3.3%, rent-to-income ratio is 32.0%, and debt-to-income ratio is 13.2%.
    Current home buying alignment status: Long-Term Alignment.","User 6 financial profile:
    Archetype: Emotionally reactive spender.
    Annual income: $90,954.
    Annual expenses: $104,036.
    Average monthly income: $7,579.
    Average monthly expenses: $8,670.
    Average monthly surplus: $-1,090.
    Average monthly savings: $249.
    Total savings transfers: $2,985.
    Total investment transfers: $0.
    Savings rate: 3.3%.
    Rent-to-income ratio: 32.0%.
    Debt-to-income ratio: 13.2%.
    Emergency buffer estimate: 0.3 months.
    Spending volatility: $3,320.
    Top spending categories: Rent, Groceries, Dining Out, Shopping, Entertainment.
    Strengths: .
    Opportunities: increase monthly savings rate, rent pressure may be slowing deposit growth, reduce debt repayment pressure before purchase, review dining, shopping, entertainment, and lifestyle spending, reduce month-to-month spending volatility.
    Financial alignment status: Long-Term Alignment."
7,Financially recovering buyer,84594.14,83700.69,7049.51,6975.06,74.45,7792.55,649.38,1188.14,0.0921,55327.13,16165.55,0.1931,0.3152,12417.15,0.1468,1814.08,395.83,1.12,1098862,109886.2,219772.4,157.2,326.4,"Rent, Groceries, Savings Transfer, Credit Card Repayment, Personal Loan Repayment",rent is reasonably controlled relative to income; discretionary spending is relatively controlled,increase monthly savings rate; reduce debt repayment pressure before purchase; reduce month-to-month spending volatility,Long-Term Alignment,"Recommended roadmap:
    1. Maintain income stability and preserve positive monthly surplus.
    2. Increase monthly deposit transfers where possible.
    3. Review top spending categories: Rent, Groceries, Savings Transfer, Credit Card Repayment, Personal Loan Repayment.
    4. Reduce avoidable discretionary spending before increasing property budget.
    5. Strengthen deposit position before pursuing higher-priced properties.
    6. Speak with a broker or lender for formal borrowing guidance.","This user is best described as a Financially recovering buyer. Over the last 12 months, they earned approximately $84,594
    and spent approximately $83,701. Their average monthly surplus is approximately $74.
    Their savings rate is 9.2%, rent-to-income ratio is 31.5%, and debt-to-income ratio is 14.7%.
    Current home buying alignment status: Long-Term Alignment.","User 7 financial profile:
    Archetype: Financially recovering buyer.
    Annual income: $84,594.
    Annual expenses: $83,701.
    Average monthly income: $7,050.
    Average monthly expenses: $6,975.
    Average monthly surplus: $74.
    Average monthly savings: $649.
    Total savings transfers: $7,793.
    Total investment transfers: $1,188.
    Savings rate: 9.2%.
    Rent-to-income ratio: 31.5%.
    Debt-to-income ratio: 14.7%.
    Emergency buffer estimate: 1.1 months.
    Spending volatility: $1,814.
    Top spending categories: Rent, Groceries, Savings Transfer, Credit Card Repayment, Personal Loan Repayment.
    Strengths: rent is reasonably controlled relative to income, discretionary spending is relatively controlled.
    Opportunities: increase monthly savings rate, reduce debt repayment pressure before purchase, reduce month-to-month spending volatility.
    Financial alignment status: Long-Term Alignment."
8,Highly structured budgeter,98015.39,88249.01,8167.95,7354.08,813.86,22578.77,1881.56,4851.69,0.2304,47634.07,12783.94,0.1449,0.279,2209.03,0.0225,3146.69,346.3,3.07,925534,92553.4,185106.8,37.2,86.4,"Rent, Savings Transfer, Groceries, Investment Transfer, Transport",strong savings consistency; rent is reasonably controlled relative to income; low debt repayment pressure; discretionary spending is relatively controlled,reduce month-to-month spending volatility,Emerging Alignment,"Recommended roadmap:
    1. Maintain income stability and preserve positive monthly surplus.
    2. Increase monthly deposit transfers where possible.
    3. Review top spending categories: Rent, Savings Transfer, Groceries, Investment Transfer, Transport.
    4. Reduce avoidable discretionary spending before increasing property budget.
    5. Strengthen deposit position before pursuing higher-priced properties.
    6. Speak with a broker or lender for formal borrowing guidance.","This user is best described as a Highly structured budgeter. Over the last 12 months, they earned approximately $98,015
    and spent approximately $88,249. Their average monthly surplus is approximately $814.
    Their savings rate is 23.0%, rent-to-income ratio is 27.9%, and debt-to-income ratio is 2.3%.
    Current home buying alignment status: Emerging Alignment.","User 8 financial profile:
    Archetype: Highly structured budgeter.
    Annual income: $98,015.
    Annual expenses: $88,249.
    Average monthly income: $8,168.
    Average monthly expenses: $7,354.
    Average monthly surplus: $814.
    Average monthly savings: $1,882.
    Total savings transfers: $22,579.
    Total investment transfers: $4,852.
    Savings rate: 23.0%.
    Rent-to-income ratio: 27.9%.
    Debt-to-income ratio: 2.3%.
    Emergency buffer estimate: 3.1 months.
    Spending volatility: $3,147.
    Top spending categories: Rent, Savings Transfer, Groceries, Investment Transfer, Transport.
    Strengths: strong savings consistency, rent is reasonably controlled relative to income, low debt repayment pressure, discretionary spending is relatively controlled.
    Opportunities: reduce month-to-month spending volatility.
    Financial alignment status: Emerging Alignment."
9,Entrepreneur / variable income buyer,105708.03,108766.01,8809.0,9063.83,-254.83,13034.04,1086.17,7038.45,0.1233,59751.25,27466.32,0.2525,0.3277,6002.9,0.0568,2836.02,4622.12,1.44,1077949,107794.9,215589.8,87.2,186.5,"Rent, Savings Transfer, Groceries, Investment Transfer, Personal Care",low debt repayment pressure; discretionary spending is relatively controlled,increase monthly savings rate; rent pressure may be slowing deposit growth; reduce month-to-month spending volatility,Long-Term Alignment,"Recommended roadmap:
    1. Maintain income stability and preserve positive monthly surplus.
    2. Increase monthly deposit transfers where possible.
    3. Review top spending categories: Rent, Savings Transfer, Groceries, Investment Transfer, Personal Care.
    4. Reduce avoidable discretionary spending before increasing property budget.
    5. Strengthen deposit position before pursuing higher-priced properties.
    6. Speak with a broker or lender for formal borrowing guidance.","This user is best described as a Entrepreneur / variable income buyer. Over the last 12 months, they earned approximately $105,708
    and spent approximately $108,766. Their average monthly surplus is approximately $-255.
    Their savings rate is 12.3%, rent-to-income ratio is 32.8%, and debt-to-income ratio is 5.7%.
    Current home buying alignment status: Long-Term Alignment.","User 9 financial profile:
    Archetype: Entrepreneur / variable income buyer.
    Annual income: $105,708.
    Annual expenses: $108,766.
    Average monthly income: $8,809.
    Average monthly expenses: $9,064.
    Average monthly surplus: $-255.
    Average monthly savings: $1,086.
    Total savings transfers: $13,034.
    Total investment transfers: $7,038.
    Savings rate: 12.3%.
    Rent-to-income ratio: 32.8%.
    Debt-to-income ratio: 5.7%.
    Emergency buffer estimate: 1.4 months.
    Spending volatility: $2,836.
    Top spending categories: Rent, Savings Transfer, Groceries, Investment Transfer, Personal Care.
    Strengths: low debt repayment pressure, discretionary spending is relatively controlled.
    Opportunities: increase monthly savings rate, rent pressure may be slowing deposit growth, reduce month-to-month spending volatility.
    Financial alignment status: Long-Term Alignment."
10,Remote worker lifestyle optimizer,108482.23,101047.98,9040.19,8420.67,619.52,20631.01,1719.25,5954.4,0.1902,55213.48,18341.99,0.1815,0.3007,2931.1,0.027,2815.97,399.11,2.45,1413830,141383.0,282766.0,70.2,152.5,"Rent, Savings Transfer, Groceries, Investment Transfer, Transport",strong savings consistency; rent is reasonably controlled relative to income; low debt repayment pressure; discretionary spending is relatively controlled,reduce month-to-month spending volatility,Emerging Alignment,"Recommended roadmap:
    1. Maintain income stability and preserve positive monthly surplus.
    2. Increase monthly deposit transfers where possible.
    3. Review top spending categories: Rent, Savings Transfer, Groceries, Investment Transfer, Transport.
    4. Reduce avoidable discretionary spending before increasing property budget.
    5. Strengthen deposit position before pursuing higher-priced properties.
    6. Speak with a broker or lender for formal borrowing guidance.","This user is best described as a Remote worker lifestyle optimizer. Over the last 12 months, they earned approximately $108,482
    and spent approximately $101,048. Their average monthly surplus is approximately $620.
    Their savings rate is 19.0%, rent-to-income ratio is 30.1%, and debt-to-income ratio is 2.7%.
    Current home buying alignment status: Emerging Alignment.","User 10 financial profile:
    Archetype: Remote worker lifestyle optimizer.
    Annual income: $108,482.
    Annual expenses: $101,048.
    Average monthly income: $9,040.
    Average monthly expenses: $8,421.
    Average monthly surplus: $620.
    Average monthly savings: $1,719.
    Total savings transfers: $20,631.
    Total investment transfers: $5,954.
    Savings rate: 19.0%.
    Rent-to-income ratio: 30.1%.
    Debt-to-income ratio: 2.7%.
    Emergency buffer estimate: 2.5 months.
    Spending volatility: $2,816.
    Top spending categories: Rent, Savings Transfer, Groceries, Investment Transfer, Transport.
    Strengths: strong savings consistency, rent is reasonably controlled relative to income, low debt repayment pressure, discretionary spending is relatively controlled.
    Opportunities: reduce month-to-month spending volatility.
    Financial alignment status: Emerging Alignment."
