budget_range,property_type,bedrooms,bathrooms,features,neighborhood,pre_approval,timeline,purpose,motivation,points_interest,budget_min,budget_max,budget_mid,bedrooms_num,bathrooms_num,pre_approval_bin,timeline_score,pref_house,pref_house_land,pref_townhouse,pref_apartment,feat_parking,feat_pet_friendly,feat_green_spaces,feat_proximity_to_public_transport,feat_security,feat_low_maintenance_options,feat_swimming_pool,feat_balcony,feat_gym
$500K-$750K,"Apartment
Townhouse
House",Studio,1.0,"Pet-friendly
Green spaces
Proximity to public transport","Mixed-use (balanced)
Close to work/schools
Nature-focused",NO,1–2 years,Home to Live In,Stability & security,YES,500000.0,750000.0,625000.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
$500K-$750K,"House
House & Land",2,1.0,,"Quiet & residential
Urban & vibrant
Mixed-use (balanced)
Close to work/schools
Family-friendly
Luxury/High-end
Nature-focused",NO,Not sure,Home to Live In,"Stability & security
Building wealth
Family needs",YES,500000.0,750000.0,625000.0,2.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
$500K-$750K,House & Land,3,2.0,"Swimming Pool
Gym
Low-maintenance options",Nature-focused,NO,1–2 years,Home to Live In,"Stability & security
Building wealth
Family needs
Retirement planning",YES,500000.0,750000.0,625000.0,3.0,2.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
$750K-$900K,"House
House & Land",3,2.0,"Parking
Pet-friendly
Low-maintenance options","Quiet & residential
Mixed-use (balanced)
Close to work/schools
Family-friendly",NO,Not sure,Home to Live In,"Stability & security
Family needs",YES,750000.0,900000.0,825000.0,3.0,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
$500K-$750K,"House
House & Land",5+,1.0,Pet-friendly,"Urban & vibrant
Family-friendly",NO,Not sure,Home to Live In,Stability & security,YES,500000.0,750000.0,625000.0,5.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
$500K-$750K,House & Land,4,2.0,"Parking
Pet-friendly
Balcony
Green spaces","Quiet & residential
Mixed-use (balanced)
Family-friendly",NO,6–12 months,Home to Live In,"Stability & security
Family needs",YES,500000.0,750000.0,625000.0,4.0,2.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
$750K-$900K,"Apartment
Townhouse
House
House & Land",4,2.0,"Parking
Swimming Pool
Balcony
Green spaces
Proximity to public transport
High rental ROI potential","Quiet & residential
Urban & vibrant
Mixed-use (balanced)
Close to work/schools
Family-friendly",NO,1–2 years,Either/Both,"Stability & security
Building wealth
Investment opportunity",YES,750000.0,900000.0,825000.0,4.0,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
$500K-$750K,"House
House & Land",4,2.0,Parking,"Quiet & residential
Close to work/schools
Family-friendly",NO,1–2 years,Home to Live In,"Stability & security
Building wealth
Family needs",YES,500000.0,750000.0,625000.0,4.0,2.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
$750K-$900K,Townhouse,2,2.0,"Pet-friendly
Green spaces",Mixed-use (balanced),NO,1–2 years,Home to Live In,"Stability & security
Building wealth
Investment opportunity",YES,750000.0,900000.0,825000.0,2.0,2.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
$500K-$750K,House,2,2.0,"Parking
Security",Quiet & residential,NO,Not sure,Home to Live In,Stability & security,YES,500000.0,750000.0,625000.0,2.0,2.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
