property_id,listing_id,suburb,state,country,price,estimated_deposit_5_percent,estimated_deposit_10_percent,estimated_deposit_20_percent,estimated_stamp_duty_placeholder,property_type,bedrooms,bathrooms,parking,land_size_sqm,internal_size_sqm,year_built,property_age_years,strata_fees_per_quarter,council_rates_per_quarter,water_rates_per_quarter,listing_date,days_on_market,market_condition,inspection_interest_level,estimated_weekly_rent,estimated_rental_yield_percent,capital_growth_score,lifestyle_match_score,investment_quality_score,relative_affordability_score,nearest_train_or_metro_minutes,estimated_cbd_commute_minutes,nearest_school_distance_km,nearest_park_distance_km,nearest_shopping_distance_km,neighborhood_energy,home_personality,ideal_buyer_archetype,lifestyle_supported,desired_home_feeling,family_life_fit,remote_work_fit,social_living_fit,long_term_lifestyle_fit,maintenance_level,renovation_need,pet_friendliness,natural_light_quality,noise_level,privacy_level,storage_quality,outdoor_space_quality,work_from_home_suitability,hosting_suitability,buyer_identity_alignment,morning_lifestyle_experience,evening_lifestyle_experience,match_summary,risk_notes,full_property_profile_text
1,OCC-10001,Leppington,NSW,Australia,633112,31656,63311,126622,25324,Apartment,2,1,0,0,90,2016,10,992,412,264,2026-02-07,99,high enquiry,strong,409,3.36,93,61,90,47,20,25,2.8,0.2,0.6,waterside and lifestyle-focused,Grounded family home,Grounded family home,"stable family routines, school proximity, calm weekends, long-term belonging","safe, warm, settled, protective",Low,Moderate,Very Strong,Strong,Moderate,Cosmetic,Low,Strong,Low,Moderate,Moderate,None,Strong,Strong,"Best suited to someone who sees home as a base for stable family routines, school proximity, calm weekends, long-term belonging.","Mornings feel safe, warm, settled, protective, supported by the suburb's waterside and lifestyle-focused rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a grounded family home in Leppington.,Buyer should compare price against recent local sales.,"Property 1 is a apartment in Leppington designed around the lifestyle archetype: Grounded family home.
    It is listed at $633,112 and has been on the market for 99 days.
    The property supports stable family routines, school proximity, calm weekends, long-term belonging. The emotional feel is safe, warm, settled, protective.
    The local area feels waterside and lifestyle-focused, with an estimated CBD commute of 25 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 2 bedrooms, 1 bathrooms, 0 parking spaces, and approximately 90 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.36% and a growth score of 93/100."
2,OCC-10002,Waterloo,NSW,Australia,1002589,50129,100259,200518,40104,Apartment,1,2,1,0,113,2021,5,930,351,247,2026-03-03,75,price adjusted,very strong,573,2.97,69,78,60,89,23,59,4.0,1.1,0.9,premium and aspirational,Urban professional apartment,Urban professional apartment,"career-focused living, transport access, convenience, modern routines","efficient, polished, connected, energising",Strong,Moderate,Strong,Strong,Low,Moderate,High,Excellent,High,Moderate,Strong,Balcony,Excellent,Moderate,"Best suited to someone who sees home as a base for career-focused living, transport access, convenience, modern routines.","Mornings feel efficient, polished, connected, energising, supported by the suburb's premium and aspirational rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a urban professional apartment in Waterloo.,Buyer should assess commute tolerance and ongoing ownership costs.,"Property 2 is a apartment in Waterloo designed around the lifestyle archetype: Urban professional apartment.
    It is listed at $1,002,589 and has been on the market for 75 days.
    The property supports career-focused living, transport access, convenience, modern routines. The emotional feel is efficient, polished, connected, energising.
    The local area feels premium and aspirational, with an estimated CBD commute of 59 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 1 bedrooms, 2 bathrooms, 1 parking spaces, and approximately 113 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 2.97% and a growth score of 69/100."
3,OCC-10003,Hurstville,NSW,Australia,1063060,53153,106306,212612,42522,Villa,4,1,0,283,178,2002,24,600,373,217,2026-04-01,46,active,moderate,1034,5.06,75,73,86,60,4,71,1.6,0.9,1.0,transport-rich and convenient,Nature-oriented retreat,Nature-oriented retreat,"peace, green space, slower mornings, emotional decompression","calm, restorative, private, grounded",Strong,Very Strong,Very Strong,Very Strong,Moderate,Moderate,Low,Moderate,High,Strong,Limited,None,Moderate,Moderate,"Best suited to someone who sees home as a base for peace, green space, slower mornings, emotional decompression.","Mornings feel calm, restorative, private, grounded, supported by the suburb's transport-rich and convenient rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a nature-oriented retreat in Hurstville.,Buyer should assess commute tolerance and ongoing ownership costs.,"Property 3 is a villa in Hurstville designed around the lifestyle archetype: Nature-oriented retreat.
    It is listed at $1,063,060 and has been on the market for 46 days.
    The property supports peace, green space, slower mornings, emotional decompression. The emotional feel is calm, restorative, private, grounded.
    The local area feels transport-rich and convenient, with an estimated CBD commute of 71 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 4 bedrooms, 1 bathrooms, 0 parking spaces, and approximately 178 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 5.06% and a growth score of 75/100."
4,OCC-10004,Waterloo,NSW,Australia,1405380,70269,140538,281076,56215,Villa,3,2,0,136,139,2016,10,520,434,278,2026-04-10,37,active,low,978,3.62,73,87,65,64,6,63,4.0,2.3,3.1,quiet and family-oriented,Luxury aspirational home,Luxury aspirational home,"status, comfort, privacy, premium lifestyle expression","elevated, spacious, impressive, refined",Strong,Very Strong,Moderate,Moderate,Moderate,Cosmetic,High,Excellent,Low,Very Strong,Moderate,Garden,Moderate,Low,"Best suited to someone who sees home as a base for status, comfort, privacy, premium lifestyle expression.","Mornings feel elevated, spacious, impressive, refined, supported by the suburb's quiet and family-oriented rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a luxury aspirational home in Waterloo.,Buyer should compare price against recent local sales.,"Property 4 is a villa in Waterloo designed around the lifestyle archetype: Luxury aspirational home.
    It is listed at $1,405,380 and has been on the market for 37 days.
    The property supports status, comfort, privacy, premium lifestyle expression. The emotional feel is elevated, spacious, impressive, refined.
    The local area feels quiet and family-oriented, with an estimated CBD commute of 63 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 3 bedrooms, 2 bathrooms, 0 parking spaces, and approximately 139 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.62% and a growth score of 73/100."
5,OCC-10005,Lane Cove,NSW,Australia,1482167,74108,148217,296433,59287,House,5,2,2,379,211,2021,5,0,408,201,2026-05-02,15,price adjusted,very strong,1445,5.07,65,76,88,90,5,68,2.5,0.5,2.7,waterside and lifestyle-focused,Minimalist low-maintenance townhouse,Minimalist low-maintenance townhouse,"simplicity, easy upkeep, clean routines, low-friction living","simple, clean, ordered, peaceful",Strong,Strong,Very Strong,Moderate,Low,Cosmetic,Low,Strong,Low,Very Strong,Strong,Balcony,Excellent,Moderate,"Best suited to someone who sees home as a base for simplicity, easy upkeep, clean routines, low-friction living.","Mornings feel simple, clean, ordered, peaceful, supported by the suburb's waterside and lifestyle-focused rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a minimalist low-maintenance townhouse in Lane Cove.,"Buyer should review strata, inspection reports, and comparable sales.","Property 5 is a house in Lane Cove designed around the lifestyle archetype: Minimalist low-maintenance townhouse.
    It is listed at $1,482,167 and has been on the market for 15 days.
    The property supports simplicity, easy upkeep, clean routines, low-friction living. The emotional feel is simple, clean, ordered, peaceful.
    The local area feels waterside and lifestyle-focused, with an estimated CBD commute of 68 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 5 bedrooms, 2 bathrooms, 2 parking spaces, and approximately 211 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 5.07% and a growth score of 65/100."
6,OCC-10006,Castle Hill,NSW,Australia,740031,37002,74003,148006,29601,Apartment,1,2,1,0,63,2003,23,922,397,174,2026-03-08,70,new listing,very strong,593,4.17,85,75,85,86,24,51,1.2,0.5,3.8,waterside and lifestyle-focused,Creative lifestyle loft,Creative lifestyle loft,"creative work, flexible space, expressive living, urban inspiration","expressive, open, flexible, imaginative",Strong,Strong,Very Strong,Strong,High,None,High,Excellent,High,Moderate,Limited,Garden,Excellent,Strong,"Best suited to someone who sees home as a base for creative work, flexible space, expressive living, urban inspiration.","Mornings feel expressive, open, flexible, imaginative, supported by the suburb's waterside and lifestyle-focused rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a creative lifestyle loft in Castle Hill.,"Buyer should review strata, inspection reports, and comparable sales.","Property 6 is a apartment in Castle Hill designed around the lifestyle archetype: Creative lifestyle loft.
    It is listed at $740,031 and has been on the market for 70 days.
    The property supports creative work, flexible space, expressive living, urban inspiration. The emotional feel is expressive, open, flexible, imaginative.
    The local area feels waterside and lifestyle-focused, with an estimated CBD commute of 51 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 1 bedrooms, 2 bathrooms, 1 parking spaces, and approximately 63 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.17% and a growth score of 85/100."
7,OCC-10007,Strathfield,NSW,Australia,1019448,50972,101945,203890,40778,Townhouse,2,3,2,257,157,2002,24,537,385,254,2026-04-07,40,longer campaign,very strong,857,4.37,89,60,60,83,5,48,3.7,2.6,0.6,premium and aspirational,Young couple starter home,Young couple starter home,"first-home momentum, affordability balance, future planning","hopeful, practical, fresh, future-focused",Moderate,Strong,Low,Moderate,Moderate,None,Moderate,Strong,Moderate,Strong,Moderate,Large backyard,Excellent,Excellent,"Best suited to someone who sees home as a base for first-home momentum, affordability balance, future planning.","Mornings feel hopeful, practical, fresh, future-focused, supported by the suburb's premium and aspirational rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a young couple starter home in Strathfield.,Buyer should assess commute tolerance and ongoing ownership costs.,"Property 7 is a townhouse in Strathfield designed around the lifestyle archetype: Young couple starter home.
    It is listed at $1,019,448 and has been on the market for 40 days.
    The property supports first-home momentum, affordability balance, future planning. The emotional feel is hopeful, practical, fresh, future-focused.
    The local area feels premium and aspirational, with an estimated CBD commute of 48 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 2 bedrooms, 3 bathrooms, 2 parking spaces, and approximately 157 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 4.37% and a growth score of 89/100."
8,OCC-10008,Epping,NSW,Australia,1436551,71828,143655,287310,57462,House,5,2,1,379,298,1996,30,0,645,210,2026-02-06,100,longer campaign,low,812,2.94,87,65,66,39,4,57,2.3,2.8,2.2,urban and connected,Downsizer comfort home,Downsizer comfort home,"comfort, accessibility, lower maintenance, calm lifestyle","comfortable, secure, easy, relaxed",Moderate,Very Strong,Low,Very Strong,Low,Significant,High,Excellent,High,Very Strong,Moderate,Courtyard,Moderate,Strong,"Best suited to someone who sees home as a base for comfort, accessibility, lower maintenance, calm lifestyle.","Mornings feel comfortable, secure, easy, relaxed, supported by the suburb's urban and connected rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a downsizer comfort home in Epping.,Buyer should assess commute tolerance and ongoing ownership costs.,"Property 8 is a house in Epping designed around the lifestyle archetype: Downsizer comfort home.
    It is listed at $1,436,551 and has been on the market for 100 days.
    The property supports comfort, accessibility, lower maintenance, calm lifestyle. The emotional feel is comfortable, secure, easy, relaxed.
    The local area feels urban and connected, with an estimated CBD commute of 57 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 5 bedrooms, 2 bathrooms, 1 parking spaces, and approximately 298 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 2.94% and a growth score of 87/100."
9,OCC-10009,Mascot,NSW,Australia,917235,45862,91724,183447,36689,Villa,3,2,0,291,172,1995,31,411,489,222,2026-02-05,101,active,very strong,584,3.31,71,68,77,39,17,59,4.5,3.0,0.5,premium and aspirational,Social hosting-oriented home,Social hosting-oriented home,"entertaining, open living, connection, weekend gatherings","warm, open, lively, welcoming",Strong,Very Strong,Low,Very Strong,High,Moderate,High,Moderate,Low,Strong,Limited,None,Excellent,Moderate,"Best suited to someone who sees home as a base for entertaining, open living, connection, weekend gatherings.","Mornings feel warm, open, lively, welcoming, supported by the suburb's premium and aspirational rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a social hosting-oriented home in Mascot.,Buyer should compare price against recent local sales.,"Property 9 is a villa in Mascot designed around the lifestyle archetype: Social hosting-oriented home.
    It is listed at $917,235 and has been on the market for 101 days.
    The property supports entertaining, open living, connection, weekend gatherings. The emotional feel is warm, open, lively, welcoming.
    The local area feels premium and aspirational, with an estimated CBD commute of 59 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 3 bedrooms, 2 bathrooms, 0 parking spaces, and approximately 172 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.31% and a growth score of 71/100."
10,OCC-10010,Zetland,NSW,Australia,970861,48543,97086,194172,38834,Loft,1,2,1,0,118,2023,3,1217,582,259,2026-03-11,67,high enquiry,low,672,3.6,63,76,65,82,4,25,3.0,2.5,0.4,transport-rich and convenient,Long-term wealth builder property,Long-term wealth builder property,"capital growth, rental appeal, infrastructure access, asset strategy","strategic, practical, resilient, future-minded",Low,Moderate,Moderate,Very Strong,Low,Moderate,High,Excellent,Low,Strong,Limited,None,Strong,Strong,"Best suited to someone who sees home as a base for capital growth, rental appeal, infrastructure access, asset strategy.","Mornings feel strategic, practical, resilient, future-minded, supported by the suburb's transport-rich and convenient rhythm.","Evenings support rest, connection, and a sense of personal alignment.",A strong match for buyers seeking a long-term wealth builder property in Zetland.,"Buyer should review strata, inspection reports, and comparable sales.","Property 10 is a loft in Zetland designed around the lifestyle archetype: Long-term wealth builder property.
    It is listed at $970,861 and has been on the market for 67 days.
    The property supports capital growth, rental appeal, infrastructure access, asset strategy. The emotional feel is strategic, practical, resilient, future-minded.
    The local area feels transport-rich and convenient, with an estimated CBD commute of 25 minutes.
    This home is especially suitable for buyers who want their property choice to support identity, routine, relationships, and long-term direction.
    From a practical perspective, the home has 1 bedrooms, 2 bathrooms, 1 parking spaces, and approximately 118 sqm of internal living area.
    From a market perspective, the property has an estimated rental yield of 3.6% and a growth score of 63/100."
